UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temperature Comment
120.0,L47299,L,298.7,308.5,,40.7,106.0,,0.0,0.0,0.0,0.0,0.0,-
121.0,L47300,L,298.9,308.7,1433.0,44.7,108.0,0.0,0.0,0.0,0.0,0.0,0.0,-
122.0,,L,298.9,308.7,1558.0,41.2,110.0,0.0,0.0,0.0,0.0,0.0,0.0,-
123.0,L47302,L,299.0,308.8,1310.0,50.7,112.0,0.0,0.0,0.0,0.0,0.0,0.0,-
,L47303,L,298.9,308.7,1546.0,43.4,114.0,0.0,0.0,0.0,0.0,0.0,0.0,-
125.0,L47304,,298.9,308.7,1727.0,29.4,116.0,0.0,0.0,0.0,0.0,0.0,0.0,-
126.0,L47305,L,298.9,308.6,1560.0,32.2,118.0,0.0,0.0,0.0,0.0,0.0,0.0,-
127.0,L47306,L,299.0,308.6,1329.0,60.5,120.0,0.0,0.0,0.0,0.0,0.0,0.0,-
128.0,L47307,L,298.9,308.6,1413.0,46.5,122.0,0.0,0.0,0.0,0.0,0.0,0.0,-
129.0,L47308,L,299.0,308.6,1587.0,38.6,124.0,0.0,0.0,0.0,0.0,0.0,0.0,-
130.0,L47309,L,298.9,308.5,1559.0,34.3,126.0,0.0,0.0,0.0,0.0,0.0,0.0,-
,L47310,L,298.8,308.4,1473.0,41.1,128.0,0.0,0.0,0.0,0.0,0.0,0.0,-
132.0,L47311,L,298.8,308.4,1737.0,27.7,130.0,0.0,0.0,0.0,0.0,0.0,0.0,-
133.0,M14992,M,298.7,308.4,1441.0,43.2,-132.0,0.0,0.0,0.0,0.0,0.0,0.0,-
134.0,M14993,M,298.7,308.4,1430.0,49.6,135.0,0.0,0.0,0.0,0.0,0.0,0.0,-
135.0,L47314,L,298.8,308.4,,53.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,-
136.0,M14995,M,298.8,308.5,1711.0,28.5,140.0,0.0,0.0,0.0,0.0,0.0,0.0,-
137.0,,H,298.7,308.5,1420.0,45.7,143.0,0.0,0.0,0.0,0.0,0.0,0.0,-
138.0,L47317,L,298.7,308.6,1297.0,55.3,148.0,0.0,0.0,0.0,0.0,0.0,0.0,-
139.0,H29552,H,298.8,308.6,,49.4,150.0,0.0,0.0,0.0,0.0,0.0,0.0,-
140.0, L47319,L,298.8,308.6,1268.0,55.8,155.0,0.0,0.0,0.0,0.0,0.0,0.0,-
141.0,L47320,L,298.8,308.6,1511.0,,157.0,0.0,0.0,0.0,0.0,0.0,0.0,-
142.0,L47321,L,298.7,308.5,1544.0,35.2,159.0,0.0,0.0,0.0,0.0,0.0,0.0,-
143.0,M15002,M,298.6,308.4,,28.2,161.0,0.0,0.0,0.0,0.0,0.0,0.0,-
144.0,H29557,H,298.6,308.4,1407.0,50.5,164.0,0.0,0.0,0.0,0.0,0.0,0.0,-
145.0,,M,,308.4,1391.0,42.4,169.0,0.0,0.0,0.0,0.0,0.0,0.0,-
146.0,L47325,L,298.5,308.4,1513.0,33.6,172.0,0.0,0.0,0.0,0.0,0.0,0.0,-
147.0,H29560,H,25.35 °C,35.25 °C,1612.0,36.1,174.0,0.0,,0.0,0.0,0.0,0.0,-
148.0,"""L47327""",L,298.4,308.4,1515.0,40.1,179.0,0.0,0.0,0.0,0.0,0.0,0.0,-
149.0,,M,298.3,308.3,1379.0,48.0,181.0,0.0,0.0,0.0,,,0.0,-
150.0,L47329,L,,308.3,1473.0,39.9,-184.0,0.0,0.0,0.0,0.0,0.0,0.0,-
,L47330,L,298.4,308.3,1422.0,42.7,186.0,0.0,0.0,0.0,0.0,0.0,0.0,-
152.0,M15011,M,298.4,308.2,1463.0,37.6,188.0,0.0,0.0,0.0,0.0,0.0,0.0,-
,M15012,M,298.4,308.2,1584.0,41.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,-
154.0,L47333,L,25.25 °C,35.05 °C,1850.0,27.0,194.0,0.0,0.0,0.0,0.0,,0.0,-
155.0,L47334,L,298.4,308.2,1528.0,36.2,196.0,0.0,0.0,0.0,0.0,0.0,0.0,-
156.0,H29569,H,298.4,308.2,1987.0,19.8,198.0,0.0,0.0,,,0.0,0.0,-
157.0,,M,298.4,308.1,1495.0,46.0,203.0,,0.0,0.0,0.0,0.0,0.0,-
158.0,H29571,H,298.4,308.2,3478.0,,-206.0,,0.0,0.0,0.0,0.0,0.0,-
159.0,M15018,M,298.4,308.2,1499.0,40.0,-211.0,0.0,0.0,0.0,,0.0,0.0,-
160.0,L47339,L,,308.2,1471.0,47.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,-
161.0,L47340,"""L""",298.4,308.2,1282.0,60.7,216.0,1.0,0.0,0.0,0.0,1.0,0.0,-
162.0,L47341,L,298.3,308.1,1412.0,,218.0,1.0,0.0,0.0,0.0,1.0,0.0,-
163.0,L47342,L,298.3,308.1,1586.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
164.0,M15023,M,298.4,308.2,1468.0,43.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-
165.0,m15024,,25.35 °C,35.15 °C,1440.0,43.6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-
166.0,L47345,L,298.5,308.4,1733.0,26.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-
167.0,H29580,H,298.4,308.2,1612.0,32.6,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-
168.0,h29581,H,298.4,308.3,1458.0,42.9,15.0,0.0,0.0,0.0,0.0,0.0,0.0,-
169.0,L47348,L,298.4,308.3,1433.0,62.3,20.0,1.0,0.0,0.0,1.0,0.0,0.0,-
170.0,L47349,L,298.4,308.3,1318.0,59.1,22.0,0.0,0.0,0.0,0.0,0.0,0.0,-
171.0,M15030,M,298.4,,1610.0,35.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,-
172.0,L47351,L,298.2,308.1,1462.0,50.8,27.0,,0.0,0.0,0.0,0.0,0.0,-
173.0,M15032,M,298.1,308.0,1924.0,20.8,29.0,0.0,0.0,0.0,0.0,0.0,0.0,-
174.0,M15033,M,298.2,308.0,1591.0,,32.0,0.0,0.0,0.0,0.0,0.0,0.0,-
175.0,L47354,L,298.2,308.1,1306.0,58.3,-35.0,0.0,0.0,0.0,0.0,0.0,,-
176.0,L47355,L,25.05 °C,34.95 °C,1382.0,43.5,37.0,0.0,0.0,0.0,0.0,0.0,0.0,-
177.0,L47356,,298.2,308.1,1618.0,34.7,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-
178.0,L47357,L,298.2,308.2,,21.4,41.0,0.0,0.0,0.0,0.0,0.0,0.0,-
179.0,L47358,L,298.2,308.2,1436.0,50.2,43.0,0.0,0.0,0.0,0.0,0.0,0.0,-
,L47359,L,298.2,308.3,1304.0,49.8,45.0,0.0,0.0,0.0,0.0,0.0,0.0,-
181.0,L47360,L,298.2,308.3,1475.0,,47.0,0.0,,0.0,0.0,0.0,0.0,-
182.0,H29595,H,,308.3,1824.0,24.2,49.0,0.0,0.0,0.0,0.0,0.0,0.0,-
183.0,M15042,M,298.1,308.2,1342.0,48.1,54.0,0.0,0.0,0.0,0.0,0.0,0.0,-
184.0,L47363,L,298.1,308.2,1485.0,40.7,57.0,0.0,0.0,0.0,0.0,0.0,0.0,-
185.0,L47364,L,298.2,308.2,1667.0,30.6,59.0,0.0,,0.0,0.0,0.0,0.0,-
186.0,L47365,L,298.2,308.2,1446.0,38.2,61.0,0.0,0.0,0.0,0.0,0.0,0.0,-
187.0,L47366,L,298.1,308.3,1301.0,56.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,-
188.0,L47367,L,298.2,308.4,1379.0,43.1,-65.0,0.0,0.0,0.0,0.0,0.0,0.0,-
,L47368,L,,308.5,1606.0,33.6,67.0,0.0,,0.0,,0.0,0.0,-
190.0,M15049,M,298.3,308.4,1539.0,43.4,69.0,0.0,0.0,0.0,0.0,0.0,0.0,-
191.0,L47370,L,298.2,308.4,1477.0,49.9,72.0,0.0,0.0,0.0,0.0,0.0,0.0,-
192.0,L47371,L,298.2,308.4,1666.0,,74.0,,0.0,0.0,0.0,0.0,0.0,-
193.0,H29606,H,,308.4,1398.0,,76.0,0.0,0.0,0.0,0.0,0.0,0.0,-
194.0,H29607,H,,308.4,1678.0,34.6,81.0,0.0,0.0,0.0,0.0,0.0,0.0,-
195.0,,M,25.05 °C,35.35 °C,2678.0,,86.0,1.0,0.0,0.0,,0.0,0.0,-
196.0,"""L47375""",L,298.3,308.5,1453.0,42.9,89.0,0.0,0.0,0.0,0.0,0.0,0.0,-
197.0,H29610,H,298.3,308.6,1432.0,49.5,-91.0,0.0,0.0,0.0,0.0,0.0,0.0,-
198.0,M15057,M,298.4,308.6,1527.0,40.9,96.0,0.0,0.0,0.0,0.0,0.0,0.0,-
199.0,L47378,L,298.4,308.7,1588.0,35.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,-
200.0,L47379,L,298.4,308.6,1433.0,47.1,101.0,0.0,0.0,0.0,0.0,0.0,0.0,-
201.0,L47380,L,298.4,308.6,1609.0,35.0,-103.0,0.0,0.0,0.0,,0.0,0.0,-
202.0,L47381,L,298.3,308.5,1575.0,41.2,105.0,0.0,0.0,0.0,0.0,0.0,0.0,-
203.0,M15062,M,298.4,308.5,1636.0,35.7,107.0,0.0,0.0,0.0,0.0,0.0,0.0,-
204.0,"""L47383""",L,298.4,308.5,1490.0,37.9,110.0,0.0,0.0,0.0,0.0,0.0,0.0,-
205.0,L47384,,,308.5,1741.0,32.8,112.0,0.0,0.0,0.0,0.0,0.0,0.0,-
206.0, M15065,M,298.5,308.6,1344.0,53.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,-
207.0,L47386,L,298.5,308.7,1609.0,35.3,117.0,0.0,0.0,0.0,0.0,0.0,0.0,-
208.0,M15067,M,298.4,308.7,1421.0,60.7,119.0,1.0,,0.0,1.0,0.0,0.0,-
209.0,L47388,L,,308.6,1591.0,36.7,122.0,0.0,0.0,0.0,,0.0,0.0,-
210.0,L47389,L,298.4,308.6,1477.0,44.0,124.0,0.0,0.0,,0.0,0.0,0.0,-
211.0,L47390,L,298.4,308.7,1523.0,36.1,126.0,0.0,0.0,0.0,0.0,0.0,0.0,-
212.0,,L,298.5,308.7,1575.0,33.9,,0.0,0.0,0.0,0.0,0.0,0.0,-
213.0,H29626,H,298.4,308.7,1344.0,52.9,130.0,0.0,0.0,0.0,0.0,0.0,0.0,-
214.0,L47393,L,25.25 °C,35.55 °C,1386.0,44.9,135.0,0.0,0.0,0.0,0.0,0.0,0.0,-
215.0,M15074,M,298.3,308.6,1589.0,37.1,137.0,0.0,0.0,0.0,0.0,0.0,0.0,-
216.0,L47395,L,298.3,308.6,1548.0,40.3,140.0,0.0,0.0,0.0,0.0,0.0,0.0,-
217.0,L47396,,298.3,308.6,1499.0,38.3,142.0,0.0,0.0,0.0,0.0,0.0,0.0,-
218.0,L47397,,25.15 °C,35.35 °C,1664.0,31.6,144.0,0.0,0.0,0.0,0.0,0.0,0.0,-
219.0,L47398,l,298.3,308.6,1447.0,38.1,146.0,0.0,0.0,0.0,0.0,0.0,0.0,-
220.0,M15079,M,298.3,308.5,1434.0,46.2,148.0,0.0,0.0,0.0,0.0,0.0,0.0,-
221.0,L47400,L,298.3,,1416.0,52.7,,0.0,0.0,0.0,0.0,0.0,0.0,-
222.0,H29635,H,298.4,308.5,1827.0,24.3,-153.0,0.0,,0.0,0.0,0.0,0.0,-
223.0,L47402,L,298.4,308.6,1304.0,45.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,-
224.0,L47403,L,298.4,308.6,1569.0,34.4,160.0,0.0,0.0,0.0,0.0,0.0,0.0,-
225.0,L47404,L,298.3,308.6,1584.0,29.3,162.0,0.0,0.0,0.0,0.0,0.0,0.0,-
226.0,L47405,"""L""",298.3,308.5,1362.0,53.8,,0.0,0.0,0.0,0.0,0.0,0.0,-
227.0,L47406,L,298.3,308.4,1329.0,49.2,-166.0,0.0,0.0,0.0,0.0,0.0,0.0,-
228.0,L47407,L,298.3,308.5,3539.0,36.1,168.0,0.0,,0.0,,0.0,0.0,-
229.0,M15088,M,,308.5,1629.0,37.1,170.0,0.0,0.0,0.0,0.0,0.0,0.0,-
230.0,L47409,,298.3,308.5,,32.2,173.0,0.0,0.0,0.0,0.0,,,-
231.0,L47410,L,298.3,308.6,1570.0,34.8,175.0,0.0,0.0,0.0,0.0,0.0,0.0,-
232.0,L47411,L,25.15 °C,35.25 °C,1408.0,43.1,177.0,0.0,0.0,0.0,0.0,0.0,,-
233.0,L47412,L,25.05 °C,35.25 °C,1424.0,47.6,179.0,,0.0,0.0,0.0,0.0,0.0,-
234.0,L47413,L,298.2,308.4,1512.0,34.9,181.0,0.0,0.0,0.0,0.0,0.0,0.0,-
,l47414,L,298.2,,1478.0,42.9,183.0,0.0,0.0,0.0,0.0,0.0,0.0,-
236.0,M15095,M,298.1,308.3,1680.0,,185.0,,0.0,0.0,0.0,0.0,0.0,-
237.0,L47416,L,24.95 °C,35.15 °C,1495.0,38.7,-188.0,0.0,0.0,0.0,0.0,0.0,0.0,-
238.0,M15097,M,298.0,308.1,1552.0,36.6,190.0,0.0,0.0,0.0,0.0,0.0,0.0,-
239.0,L47418,L,297.9,308.1,1393.0,50.3,193.0,0.0,0.0,0.0,0.0,,0.0,-
240.0,L47419,L,298.0,308.2,1611.0,30.6,195.0,0.0,0.0,0.0,0.0,,0.0,-
241.0,M15100,M,298.0,308.1,1339.0,51.6,197.0,0.0,0.0,0.0,0.0,0.0,0.0,-
242.0,L47421,L,,308.1,1777.0,24.3,,0.0,0.0,0.0,0.0,0.0,0.0,-
243.0,L47422,L,298.0,308.2,1348.0,58.8,202.0,1.0,0.0,0.0,0.0,1.0,0.0,-
244.0,L47423,l,298.0,308.2,1442.0,44.1,204.0,0.0,0.0,0.0,0.0,0.0,0.0,-
245.0,M15104,M,298.0,308.2,,49.1,206.0,0.0,,0.0,0.0,0.0,0.0,-
246.0,"""M15105""",M,297.9,308.1,1627.0,31.4,209.0,0.0,0.0,0.0,0.0,0.0,0.0,-
247.0,L47426,,297.9,308.1,1585.0,33.5,212.0,0.0,0.0,0.0,0.0,0.0,0.0,-
248.0,L47427,,24.85 °C,35.05 °C,1469.0,45.5,214.0,0.0,0.0,0.0,0.0,0.0,0.0,-
